"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2013",18,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2014",15.384615385,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2015",13,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2016",14.286310555,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2013",18.053211411,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2014",17.728884245,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2015",17.04325299,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2013",5.9128630705,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2014",3.2989003665,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2015",4.672,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2013",19.30323498,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2014",19.229,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2015",18.62745098,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2016",18.221153846,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2013",15.378835316,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2014",16.254560195,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2015",16.455154158,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2016",16.315711426,
"DNK","WAGEGAP","TOT","PC_MENWAGE","A","2013",6.7689119452,
"DNK","WAGEGAP","TOT","PC_MENWAGE","A","2014",6.3238656948,
"DNK","WAGEGAP","TOT","PC_MENWAGE","A","2015",5.8360481128,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2013",20.178432711,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2014",19.609079445,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2015",18.055981324,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2014",9.8721023181,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2013",14.065934066,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2014",17.447916667,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2015",15.816326531,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2016",15.510718789,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2013",11.273731296,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2014",9.0909090909,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2015",6.25,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2016",4.4850498339,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2013",8.7236506348,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2014",3.7726055271,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2015",9.5238095238,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2016",9.3643171806,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2013",14.527463644,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2014",13.593489465,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2015",9.9314033361,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2013",12.769827795,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2014",15.173428116,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2015",14.448940728,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","2014",5.5555555533,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2013",26.587578507,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2014",25.870989997,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2015",25.731790334,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2013",36.599634369,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2014",36.653176139,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2015",37.176281754,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2016",36.666666667,
"LUX","WAGEGAP","TOT","PC_MENWAGE","A","2014",3.4029167858,
"NLD","WAGEGAP","TOT","PC_MENWAGE","A","2014",14.11468179,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2013",6.5943238731,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2014",6.0833333333,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2015",7.92,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2016",7.7692307692,
"NOR","WAGEGAP","TOT","PC_MENWAGE","A","2013",7.0080862534,
"NOR","WAGEGAP","TOT","PC_MENWAGE","A","2014",6.2827225131,
"NOR","WAGEGAP","TOT","PC_MENWAGE","A","2015",7.1246819338,
"POL","WAGEGAP","TOT","PC_MENWAGE","A","2014",11.07286288,
"PRT","WAGEGAP","TOT","PC_MENWAGE","A","2013",16.666666667,
"PRT","WAGEGAP","TOT","PC_MENWAGE","A","2014",18.879690138,
"PRT","WAGEGAP","TOT","PC_MENWAGE","A","2015",18.917016404,
"PRT","WAGEGAP","TOT","PC_MENWAGE","A","2016",14.285714286,
"SVK","WAGEGAP","TOT","PC_MENWAGE","A","2013",14.109329757,
"SVK","WAGEGAP","TOT","PC_MENWAGE","A","2014",14.350047529,
"SVK","WAGEGAP","TOT","PC_MENWAGE","A","2015",13.376624885,
"SVK","WAGEGAP","TOT","PC_MENWAGE","A","2016",13.899182143,
"ESP","WAGEGAP","TOT","PC_MENWAGE","A","2014",11.540497618,
"SWE","WAGEGAP","TOT","PC_MENWAGE","A","2013",13.420490928,
"CHE","WAGEGAP","TOT","PC_MENWAGE","A","2014",16.940742841,
"TUR","WAGEGAP","TOT","PC_MENWAGE","A","2014",6.8825910931,
"GBR","WAGEGAP","TOT","PC_MENWAGE","A","2013",17.482014388,
"GBR","WAGEGAP","TOT","PC_MENWAGE","A","2014",17.382742571,
"GBR","WAGEGAP","TOT","PC_MENWAGE","A","2015",17.101551481,
"GBR","WAGEGAP","TOT","PC_MENWAGE","A","2016",16.839736933,
"USA","WAGEGAP","TOT","PC_MENWAGE","A","2013",17.906976744,
"USA","WAGEGAP","TOT","PC_MENWAGE","A","2014",17.451205511,
"USA","WAGEGAP","TOT","PC_MENWAGE","A","2015",18.882681564,
"USA","WAGEGAP","TOT","PC_MENWAGE","A","2016",18.142076503,
"CHL","WAGEGAP","TOT","PC_MENWAGE","A","2013",10.666666667,
"CHL","WAGEGAP","TOT","PC_MENWAGE","A","2015",21.052631579,
"EST","WAGEGAP","TOT","PC_MENWAGE","A","2014",28.339350181,
"ISR","WAGEGAP","TOT","PC_MENWAGE","A","2013",18.219461698,
"ISR","WAGEGAP","TOT","PC_MENWAGE","A","2014",18.882511421,
"ISR","WAGEGAP","TOT","PC_MENWAGE","A","2015",19.275180062,
"SVN","WAGEGAP","TOT","PC_MENWAGE","A","2014",4.9962714392,
"MEX","WAGEGAP","TOT","PC_MENWAGE","A","2013",15.433403805,
"MEX","WAGEGAP","TOT","PC_MENWAGE","A","2014",18.3,
"MEX","WAGEGAP","TOT","PC_MENWAGE","A","2015",16.666666667,
"MEX","WAGEGAP","TOT","PC_MENWAGE","A","2016",16.492248062,
"LVA","WAGEGAP","TOT","PC_MENWAGE","A","2014",21.122994652,
"LTU","WAGEGAP","TOT","PC_MENWAGE","A","2014",12.479740681,
"COL","WAGEGAP","TOT","PC_MENWAGE","A","2013",7.1428571429,
"COL","WAGEGAP","TOT","PC_MENWAGE","A","2014",9.6,
"COL","WAGEGAP","TOT","PC_MENWAGE","A","2015",11.141715728,
"COL","WAGEGAP","TOT","PC_MENWAGE","A","2016",7.0917506686,
"CRI","WAGEGAP","TOT","PC_MENWAGE","A","2014",5.1497005988,
"CRI","WAGEGAP","TOT","PC_MENWAGE","A","2015",3.7037037037,
"CRI","WAGEGAP","TOT","PC_MENWAGE","A","2016",1.7857142857,
"OECD","WAGEGAP","TOT","PC_MENWAGE","A","2013",14.3012311561377,
"OECD","WAGEGAP","TOT","PC_MENWAGE","A","2014",14.2654315547074,
"OECD","WAGEGAP","TOT","PC_MENWAGE","A","2015",14.2899009264857,
"OECD","WAGEGAP","TOT","PC_MENWAGE","A","2016",14.0699944812543,
